kcc_call_id,CreatedOn,state_name,DISTRICT,block,Sector,category,CROP,season,query_type,QueryText,kcc_answer
5071041,2025-07-29T21:33:43.613,TELANGANA,,NA,NA,NA,,,,"Dear farmer, I am calling from Kisan Call Centre, if you have any problems regarding agricultural crops please contact 18001801551 for more details","ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి."
5076344,2025-07-29T21:11:38.663,TELANGANA,WARANGAL,NA,NA,NA,,NA,,ABANDONED OUTBOUND CALL FROM KISAN CALL CENTRE?,"ప్రియమైన రైతు, మీరు కిసాన్ కాల్ సెంటర్ కి కాల్ చేయటం గమనించటం జరిగింది. అందుకే మీకు తిరిగి కాల్ చేయటం జరిగింది. ఏమైనా సమస్య ఉంటే తిరిగి కిసాన్ కాల్ సెంటర్ కి కాల్ చేయండి-18001801551."
,2025-07-29T21:04:18.483,TELANGANA,KAMAREDDY,Ramareddy,,NA,NA,NA,NA,ABANDONED OUTBOUND CALL FROM KISAN CALL CENTRE?,"ప్రియమైన రైతు, మీరు కిసాన్ కాల్ సెంటర్ కి కాల్ చేయటం గమనించటం జరిగింది. అందుకే మీకు తిరిగి కాల్ చేయటం జరిగింది. ఏమైనా సమస్య ఉంటే తిరిగి కిసాన్ కాల్ సెంటర్ కి కాల్ చేయండి-18001801551."
5076375,2025-07-29T21:00:02.607,TELANGANA,KAMAREDDY,,,NA,,NA,NA,ABANDONED OUTBOUND CALL FROM KISAN CALL CENTRE?,"ప్రియమైన రైతు, మీరు కిసాన్ కాల్ సెంటర్ కి కాల్ చేయటం గమనించటం జరిగింది. అందుకే మీకు తిరిగి కాల్ చేయటం జరిగింది. ఏమైనా సమస్య ఉంటే తిరిగి కిసాన్ కాల్ సెంటర్ కి కాల్ చేయండి-18001801551."
5075268,2025-07-29T20:58:17.187,TELANGANA,KAMAREDDY,,,,NA,,,FARMER ASKED QUERY ABOUT STEM BORER MANAGEMENT IN PADDY,"RECOMMENDED TO  APPLY  Barroz Insecticide(Cartap Hydrochloride 7.5%, Emamectin Benzoate 0.25%)  3 KGS/ACRE 
 Barroz Insecticide(Cartap Hydrochloride 7.5%, Emamectin Benzoate 0.25%) గుళికలు  3 కిలోలు /1 ఎకరాకు వేసుకోవాలి"
5072714,2025-07-29T20:53:08.393,TELANGANA,,Madnur,NA,Oilseeds,,,Plant Protection,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది."
5071057,,TELANGANA,NIRMAL,Mudhole,,NA,,NA,,"Dear farmer, I am calling from Kisan Call Centre, if you have any problems regarding agricultural crops please contact 18001801551 for more details","ప్రియమైన రైతు మీరు కిసాన్ కాల్ సెంటర్ కాల్ చేయడం గమనించడం జరిగింది. అందుకే మీకు కాల్ చేయడం జరిగింది,మీకు ఏదైనా సమస్య ఉంటే మల్లి తిరిగి 1800-180-1551 కి కాల్ చేయండి."
5076324,2025-07-29T20:47:22.72,TELANGANA,KAMAREDDY,,NA,,NA,NA,,ABANDONED OUTBOUND CALL FROM KISAN CALL CENTRE?,"ప్రియమైన రైతు, మీరు కిసాన్ కాల్ సెంటర్ కి కాల్ చేయటం గమనించటం జరిగింది. అందుకే మీకు తిరిగి కాల్ చేయటం జరిగింది. ఏమైనా సమస్య ఉంటే తిరిగి కిసాన్ కాల్ సెంటర్ కి కాల్ చేయండి-18001801551."
5072502,2025-07-29T20:28:18.89,TELANGANA,KAMAREDDY,,NA,Pulses,NA,NA,"Water Management, Micro Irrigation",Farmer asked query on Weather,-- మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
5072485,2025-07-29T20:05:15.56,TELANGANA,KAMAREDDY,Pedda Kodapgal,NA,Fiber Crops,NA,NA,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
