crop,pest,active_ingredient,dose,unit,pre_harvest_interval_days,label_ref
Cotton,Jassids,Acephate 75 % SP,390,g/ha,15,CIBRC-2023 p2
Cotton,Jassids,Acephate 95 % SG,790,g/ha,18,CIBRC-2023 p2
Cotton,"Aphids, Jassids",Acetamiprid 20 % SP,50,g/ha,15,CIBRC-2023 p3
Cotton,"Bollworms, Whitefly",Bifenthrin 10 % EC,323.74,ml/acre,15,CIBRC-2023 p7
Cotton,"American bollworm, Spotted bollworm, Tobacco caterpillar",Chlorantraniliprole 18.50 % SC,150,ml/ha,9,CIBRC-2023 p12
Maize,"Fall Armyworm, Stem Borer",Isocycloseram 18.1% W/W SC (20 % W/V Sc),300,ml/ha,48,CIBRC-2023 p36
Paddy,"Stem borer, Leaf folder, Brown plant hopper",Acephate 95 % SG,592,g/ha,30,CIBRC-2023 p2
Paddy,"Yellow stem borer, Leaf folder, Plant hoppers, Green leaf hopper",Acephate 97 % DF,750,g/ha,21,CIBRC-2023 p2
Paddy,"Stem borer, Leaf folder, Brown plant hopper",Benfuracarb 03 % GR,33000,g/ha,20,CIBRC-2023 p6
Paddy,"Stem borer, Leaf folder",Bifenthrin 08.80 % CS,500,ml/ha,21,CIBRC-2023 p7
Paddy,"Stem borer, Leaf folder, Green leaf hopper",Bifenthrin 10 % EC,500,ml/ha,21,CIBRC-2023 p7
Soybean,"Green Semi looper, Stem fly, Girdle beetle",Chlorantraniliprole 18.50 % SC,60.7,ml/acre,22,CIBRC-2023 p13
Soybean,"Green semi looper, pod borer, Girdle beetle & Tobacco caterpillar",Emamectin benzoate 01.90 % EC,425,ml/ha,20,CIBRC-2023 p24
Soybean,Girdle beetle & stem fly,Ethion 50 % EC,1500,ml/ha,30,CIBRC-2023 p24
Soybean,"Defoliators (Helicoverpa armigera, Spodoptera litura and Semilooper)",Flubendiamide 39.35 % w/w SC,150,ml/ha,17,CIBRC-2023 p31
Soybean,"Leaf worm, semi-looper, Gridle Beetle, Stem fly",Isocycloseram 9.2% W/W Dc (10% W/V) DC,600,ml/ha,35,CIBRC-2023 p36
